date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:54	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225d322e91-247b%22	https://omarflores.dev/robots.txt		(from )
21:26:54	22010/22010	---M-Z	200	added ('OK')	text/html	etag:W/%225e754d8e-55fa%22	https://omarflores.dev/	C:/My%20Web%20Sites/Kellog/omarflores.dev/index.html	(from )
21:26:54	124990/124990	---M-Z	200	added ('OK')	text/css	etag:W/%225e754d8e-1e83e%22	https://omarflores.dev/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Kellog/omarflores.dev/vendor/bootstrap/css/bootstrap.min.css	(from https://omarflores.dev/)
21:26:54	68348/68348	---M-Z	200	added ('OK')	text/css	etag:W/%225e754d8e-10afc%22	https://omarflores.dev/css/animate.css	C:/My%20Web%20Sites/Kellog/omarflores.dev/css/animate.css	(from https://omarflores.dev/)
21:26:55	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%225e754d8e-7918%22	https://omarflores.dev/vendor/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/Kellog/omarflores.dev/vendor/font-awesome/css/font-awesome.min.css	(from https://omarflores.dev/)
21:26:55	4787/4787	---M-Z	200	added ('OK')	text/css	etag:W/%225e754d8e-12b3%22	https://omarflores.dev/css/mywebsite.css	C:/My%20Web%20Sites/Kellog/omarflores.dev/css/mywebsite.css	(from https://omarflores.dev/)
21:26:55	5666/5666	---M--	200	added ('OK')	image/png	etag:%225e754d8e-1622%22	https://omarflores.dev/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/Kellog/omarflores.dev/favicon/apple-touch-icon.png	(from https://omarflores.dev/)
21:26:56	1240/1240	---M--	200	added ('OK')	image/png	etag:%225e754d8e-4d8%22	https://omarflores.dev/favicon/favicon-32x32.png	C:/My%20Web%20Sites/Kellog/omarflores.dev/favicon/favicon-32x32.png	(from https://omarflores.dev/)
21:26:56	907/907	---M--	200	added ('OK')	image/png	etag:%225e754d8e-38b%22	https://omarflores.dev/favicon/favicon-16x16.png	C:/My%20Web%20Sites/Kellog/omarflores.dev/favicon/favicon-16x16.png	(from https://omarflores.dev/)
21:26:57	426/426	---M-Z	200	added ('OK')	application/manifest+json	etag:W/%225e754d8e-1aa%22	https://omarflores.dev/favicon/site.webmanifest	C:/My%20Web%20Sites/Kellog/omarflores.dev/favicon/site.webmanifest	(from https://omarflores.dev/)
21:26:57	939/939	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e754d8e-3ab%22	https://omarflores.dev/favicon/safari-pinned-tab.svg	C:/My%20Web%20Sites/Kellog/omarflores.dev/favicon/safari-pinned-tab.svg	(from https://omarflores.dev/)
21:26:59	929153/929153	---M--	200	added ('OK')	application/pdf	etag:%225e754d8e-e2d81%22	https://omarflores.dev/garciaflores_resume2020.pdf	C:/My%20Web%20Sites/Kellog/omarflores.dev/garciaflores_resume2020.pdf	(from https://omarflores.dev/)
21:26:59	218800/218800	---M--	200	added ('OK')	image/jpeg	etag:%225e754d8e-356b0%22	https://omarflores.dev/img/me.jpg	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/me.jpg	(from https://omarflores.dev/)
21:26:59	6900/6900	---M--	200	added ('OK')	image/gif	etag:%225e754d8e-1af4%22	https://omarflores.dev/img/carletonuniversity.gif	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/carletonuniversity.gif	(from https://omarflores.dev/)
21:26:59	21003/21003	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e754d8e-520b%22	https://omarflores.dev/img/play_color.svg	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/play_color.svg	(from https://omarflores.dev/)
21:27:00	229238/229238	---M--	200	added ('OK')	image/png	etag:%225e754d8e-37f76%22	https://omarflores.dev/img/rbc.png	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/rbc.png	(from https://omarflores.dev/)
21:27:00	13148/13148	---M--	200	added ('OK')	image/png	etag:%225e754d8e-335c%22	https://omarflores.dev/img/omni.png	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/omni.png	(from https://omarflores.dev/)
21:27:01	14604/14604	---M--	200	added ('OK')	image/png	etag:%225e754d8e-390c%22	https://omarflores.dev/img/deloitte2.png	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/deloitte2.png	(from https://omarflores.dev/)
21:27:01	7747/7747	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e754d8e-1e43%22	https://omarflores.dev/img/emotion-plus-icon-animated-dark.svg	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/emotion-plus-icon-animated-dark.svg	(from https://omarflores.dev/)
21:27:01	13576/13576	---M--	200	added ('OK')	image/png	etag:%225e754d8e-3508%22	https://omarflores.dev/img/ht6.png	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/ht6.png	(from https://omarflores.dev/)
21:27:02	12766/12766	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e754d8e-31de%22	https://omarflores.dev/img/trajectory.svg	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/trajectory.svg	(from https://omarflores.dev/)
21:27:02	20621/20621	---M--	200	added ('OK')	image/png	etag:%225e754d8e-508d%22	https://omarflores.dev/img/cuhacking2019.png	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/cuhacking2019.png	(from https://omarflores.dev/)
21:27:02	290206/290206	---M--	200	added ('OK')	image/png	etag:%225e754d8e-46d9e%22	https://omarflores.dev/img/ensemble.png	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/ensemble.png	(from https://omarflores.dev/)
21:27:03	24291/24291	---M--	200	added ('OK')	image/png	etag:%225e754d8e-5ee3%22	https://omarflores.dev/img/uottawa.png	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/uottawa.png	(from https://omarflores.dev/)
21:27:03	17201/17201	---M--	200	added ('OK')	image/png	etag:%225e754d8e-4331%22	https://omarflores.dev/img/evento.png	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/evento.png	(from https://omarflores.dev/)
21:27:03	163638/163638	---M--	200	added ('OK')	image/png	etag:%225e754d8e-27f36%22	https://omarflores.dev/img/conu.png	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/conu.png	(from https://omarflores.dev/)
21:27:03	18516/18516	---M--	200	added ('OK')	image/png	etag:%225e754d8e-4854%22	https://omarflores.dev/img/translate.png	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/translate.png	(from https://omarflores.dev/)
21:27:04	438867/438867	---M--	200	added ('OK')	image/png	etag:%225e754d8e-6b253%22	https://omarflores.dev/img/uoft.png	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/uoft.png	(from https://omarflores.dev/)
21:27:04	23512/23512	---M--	200	added ('OK')	image/jpeg	etag:%225e754d8e-5bd8%22	https://omarflores.dev/img/blueprint.jpg	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/blueprint.jpg	(from https://omarflores.dev/)
21:27:04	45295/45295	---M--	200	added ('OK')	image/jpeg	etag:%225e754d8e-b0ef%22	https://omarflores.dev/img/htn2018.jpg	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/htn2018.jpg	(from https://omarflores.dev/)
21:27:05	41332/41332	---M--	200	added ('OK')	image/jpeg	etag:%225e754d8e-a174%22	https://omarflores.dev/img/piction.jpg	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/piction.jpg	(from https://omarflores.dev/)
21:27:05	7043/7043	---M--	200	added ('OK')	image/png	etag:%225e754d8e-1b83%22	https://omarflores.dev/img/ordr.png	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/ordr.png	(from https://omarflores.dev/)
21:27:05	60416/60416	---M--	200	added ('OK')	image/png	etag:%225e754d8e-ec00%22	https://omarflores.dev/img/cuhacking.png	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/cuhacking.png	(from https://omarflores.dev/)
21:27:06	138283/138283	---M--	200	added ('OK')	image/jpeg	etag:%225e754d8e-21c2b%22	https://omarflores.dev/img/mathlogo.JPG	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/mathlogo.jpg	(from https://omarflores.dev/)
21:27:06	88828/88828	---M--	200	added ('OK')	image/png	etag:%225e754d8e-15afc%22	https://omarflores.dev/img/htn.png	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/htn.png	(from https://omarflores.dev/)
21:27:06	146155/146155	---M--	200	added ('OK')	image/png	etag:%225e754d8e-23aeb%22	https://omarflores.dev/img/logo.png	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/logo.png	(from https://omarflores.dev/)
21:27:06	13159/13159	---M--	200	added ('OK')	image/png	etag:%225e754d8e-3367%22	https://omarflores.dev/img/logo-2_medium.png	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/logo-2_medium.png	(from https://omarflores.dev/)
21:27:07	13341/13341	---M--	200	added ('OK')	image/png	etag:%225e754d8e-341d%22	https://omarflores.dev/img/cuc.png	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/cuc.png	(from https://omarflores.dev/)
21:27:08	120673/120673	---M--	200	added ('OK')	image/png	etag:%225e754d8e-1d761%22	https://omarflores.dev/img/sssc.png	C:/My%20Web%20Sites/Kellog/omarflores.dev/img/sssc.png	(from https://omarflores.dev/)
21:27:08	268039/268039	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e754d8e-41707%22	https://omarflores.dev/vendor/jquery/jquery.js	C:/My%20Web%20Sites/Kellog/omarflores.dev/vendor/jquery/jquery.js	(from https://omarflores.dev/)
21:27:08	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e754d8e-15283%22	https://omarflores.dev/vendor/jquery/jquery.min.js	C:/My%20Web%20Sites/Kellog/omarflores.dev/vendor/jquery/jquery.min.js	(from https://omarflores.dev/)
21:27:09	19033/19033	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e754d8e-4a59%22	https://omarflores.dev/vendor/popper/popper.min.js	C:/My%20Web%20Sites/Kellog/omarflores.dev/vendor/popper/popper.min.js	(from https://omarflores.dev/)
21:27:09	51143/51143	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e754d8e-c7c7%22	https://omarflores.dev/vendor/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/Kellog/omarflores.dev/vendor/bootstrap/js/bootstrap.min.js	(from https://omarflores.dev/)
21:27:10	12130/12130	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e754d8e-2f62%22	https://omarflores.dev/js/typed.js	C:/My%20Web%20Sites/Kellog/omarflores.dev/js/typed.js	(from https://omarflores.dev/)
21:27:11	192/192	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e754d8e-c0%22	https://omarflores.dev/js/typeme.js	C:/My%20Web%20Sites/Kellog/omarflores.dev/js/typeme.js	(from https://omarflores.dev/)
21:27:11	23364/23364	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e754d8e-5b44%22	https://omarflores.dev/js/particles.min.js	C:/My%20Web%20Sites/Kellog/omarflores.dev/js/particles.min.js	(from https://omarflores.dev/)
21:27:12	2289/2289	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e754d8e-8f1%22	https://omarflores.dev/js/app.js	C:/My%20Web%20Sites/Kellog/omarflores.dev/js/app.js	(from https://omarflores.dev/)
21:27:12	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202020%2010:27:13%20GMT	http://cdn.jsdelivr.net/particles.js/2.0.0/particles.min.js	C:/My%20Web%20Sites/Kellog/cdn.jsdelivr.net/particles.js/2.0.0/particles.min.2d.delayed	(from https://omarflores.dev/)
21:27:12	23364/23364	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b44-gBf4sYaQd9tyhXPxykaEoAr2lGI%22	https://cdn.jsdelivr.net/particles.js/2.0.0/particles.min.js	C:/My%20Web%20Sites/Kellog/cdn.jsdelivr.net/particles.js/2.0.0/particles.min.js	(from https://omarflores.dev/)
21:27:13	37045/37045	---M-Z	200	added ('OK')	text/javascript	etag:%221544639631%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	C:/My%20Web%20Sites/Kellog/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from https://omarflores.dev/)
